url_length,domain_length,path_length,num_dots,num_hyphens,num_underscores,num_slashes,num_question_marks,num_equals,num_at_symbols,num_ampersands,num_digits,num_subdomains,has_ip_address,is_https,has_port,double_slash_redirect,has_hyphen_in_domain,suspicious_word_count,brand_keyword_count,is_shortened,digit_ratio,special_char_ratio,tld_length,label
58,13,37,2,4,0,5,0,0,0,0,4,1,0,1,0,0,0,0,0,0,0.06896551724137931,0.20689655172413793,3,0
39,22,9,2,0,0,3,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0.0,0.15384615384615385,3,0
45,15,22,2,0,1,4,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0.0,0.17777777777777778,3,0
45,15,22,3,0,0,5,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0.022222222222222223,0.2,3,0
44,14,23,2,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.18181818181818182,3,1
61,21,32,2,3,0,5,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0.0,0.18032786885245902,3,0
33,11,14,2,1,0,4,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0.0,0.24242424242424243,3,0
41,16,6,2,0,0,3,1,1,0,0,3,1,0,1,0,0,0,0,0,0,0.07317073170731707,0.1951219512195122,3,0
99,14,78,2,0,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.1414141414141414,2,1
93,15,71,1,3,2,6,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0.07526881720430108,0.13978494623655913,3,0
31,18,5,2,0,0,3,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0.0,0.1935483870967742,3,0
55,10,37,1,4,0,5,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0.07272727272727272,0.2,3,0
32,15,9,2,0,0,3,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0.0,0.1875,3,0
152,21,11,1,9,0,4,1,2,0,2,25,0,0,1,0,0,0,0,0,0,0.16447368421052633,0.13157894736842105,3,1
77,16,53,1,1,0,9,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0.0,0.15584415584415584,3,1
76,29,39,3,0,0,5,0,0,0,1,13,1,0,1,0,0,0,1,0,0,0.17105263157894737,0.25,3,1
59,11,41,1,1,0,7,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0.03389830508474576,0.1694915254237288,3,1
39,30,1,3,1,0,3,0,0,0,0,0,2,0,1,0,0,1,0,1,0,0.0,0.20512820512820512,3,1
35,15,12,2,0,0,4,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0.0,0.2,3,0
55,15,32,2,3,0,5,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0.0,0.2,3,0
147,13,127,2,0,0,5,0,0,0,0,41,1,0,0,0,0,0,0,0,0,0.2789115646258503,0.32653061224489793,2,0
50,31,1,3,1,0,3,1,1,0,0,0,2,0,0,0,0,1,0,0,0,0.0,0.2,3,1
98,11,55,2,2,1,8,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0.0,0.1836734693877551,3,1
28,15,6,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.17857142857142858,3,1
35,13,14,2,1,0,4,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0.0,0.22857142857142856,3,0
39,14,6,2,0,0,3,1,1,0,0,3,1,0,1,0,0,0,0,0,0,0.07692307692307693,0.20512820512820512,3,0
39,14,17,2,0,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.20512820512820512,3,1
26,11,7,2,0,0,3,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0.0,0.23076923076923078,3,0
61,21,32,2,3,0,5,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0.0,0.18032786885245902,3,0
29,12,9,2,0,0,3,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0.0,0.20689655172413793,3,0
47,19,20,2,0,0,5,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0.0,0.1702127659574468,3,0
36,14,15,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0.0,0.16666666666666666,3,1
50,13,30,5,0,0,5,0,0,0,0,10,2,1,0,0,0,0,1,1,0,0.2,0.22,3,1
34,17,9,2,0,0,3,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0.0,0.17647058823529413,3,0
17,9,1,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.29411764705882354,3,1
33,17,8,2,0,0,3,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0.0,0.18181818181818182,3,0
42,23,12,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.14285714285714285,3,1
87,21,33,2,1,0,6,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0.0,0.14942528735632185,2,1
33,17,8,2,0,0,3,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0.0,0.18181818181818182,3,0
26,11,7,1,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.19230769230769232,3,0
32,9,15,1,0,0,4,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0.125,0.1875,2,0
29,15,6,2,0,0,3,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0.0,0.20689655172413793,3,0
73,22,44,1,1,0,8,0,0,0,0,3,0,0,0,0,0,0,3,1,0,0.0410958904109589,0.1506849315068493,3,1
32,16,8,2,0,0,3,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0.0,0.1875,3,0
35,17,10,2,0,0,6,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0.02857142857142857,0.2571428571428571,3,0
113,15,76,2,2,3,7,1,1,0,0,5,1,0,1,0,0,0,0,1,0,0.04424778761061947,0.1504424778761062,3,1
56,15,33,2,0,2,6,0,1,0,0,5,1,0,1,0,0,0,0,0,0,0.08928571428571429,0.21428571428571427,3,0
37,15,15,3,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0.21621621621621623,2,1
68,17,44,4,1,0,5,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0.0,0.16176470588235295,3,1
50,31,1,3,1,0,3,1,1,0,0,0,2,0,0,0,0,1,0,0,0,0.0,0.2,3,1
56,15,33,2,0,2,6,0,1,0,0,5,1,0,1,0,0,0,0,0,0,0.08928571428571429,0.21428571428571427,3,0
218,41,12,7,0,1,4,1,3,0,2,89,5,0,0,0,0,0,3,0,0,0.40825688073394495,0.0871559633027523,2,1
166,12,26,3,2,1,7,1,3,0,2,46,0,0,1,0,0,1,1,0,0,0.27710843373493976,0.13253012048192772,3,1
63,13,37,2,1,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.15873015873015872,3,1
32,17,7,2,0,0,3,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0.0,0.1875,3,0
23,15,1,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.21739130434782608,4,1
39,16,15,2,1,0,3,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0.0,0.1794871794871795,3,0
55,20,4,2,0,0,4,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0.0,0.21818181818181817,2,1
54,18,28,2,1,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.14814814814814814,3,1
